E,F_x,F_y,T,Tr
8.77209,0.00485058,-0.245578,5.05352,5.02849
8.83476,0.100321,-0.126588,5.00817,5.03744
8.53478,-0.0325933,0.0328773,4.97462,4.99413
8.50974,-0.0443757,0.00075229,4.99826,4.99046
8.5898,-0.00304338,0.00377406,5.00625,5.00216
7.56935,-0.715741,-0.123181,5.05043,4.84648
8.92222,0.4376,-0.135433,5.09027,5.04986
8.82604,0.176215,0.000475561,4.98879,5.0362
8.56258,-0.00351274,0.000232353,4.99815,4.99819
8.5991,-0.00143248,0.00309572,5,5.00351
7.56407,-0.720143,0.133352,5.04979,4.84563
8.91931,0.43497,0.118441,5.09259,5.04945
8.82656,0.178393,-0.0017109,4.98997,5.03627
8.563,-0.00308185,-0.000331082,4.99793,4.99825
8.59178,-0.0013701,0.0012374,5,5.00244
8.76898,-0.00351239,0.26116,5.05122,5.02804
8.79256,0.102145,0.142362,5.00937,5.03142
8.51449,0.00700168,-0.0249382,4.97501,4.99116
8.57776,-0.00475936,-0.000775991,5.00278,5.0004
8.59463,0.000269775,0.000476415,5,5.00286
8.73644,0.016764,0.120845,5.00512,5.02337
8.57597,-0.00854005,-0.0141484,4.98313,5.00014
8.47573,-0.0531425,-0.0470044,4.99142,4.98547
8.57904,-0.0106899,-0.000633729,5.00193,5.00059
8.60465,0.0101325,0.00230567,5.00023,5.00432
